,season,round,name,url,conditions
275,2019,11,12. Rally Turkey Marmaris 2019,/final/54470-rally-turkey-marmaris-2019/,['gravel']
276,2019,12,75. Wales Rally GB 2019,/final/54471-wales-rally-gb-2019/,"['gravel', 'cancelled']"
277,2019,13,55. RallyRACC Catalunya - Costa Daurada 2019,/final/54472-rallyracc-catalunya-costa-daurada-2019/,"['asphalt', 'gravel']"
278,2019,14,28. Kennards Hire Rally Australia 2019,/final/54473-kennards-hire-rally-australia-2019/,['gravel']
279,2020,1,88. Rallye Automobile Monte-Carlo 2020,/final/59972-rallye-automobile-monte-carlo-2020/,"['asphalt', 'snow']"
280,2020,2,68. Rally Sweden 2020,/final/60140-rally-sweden-2020/,"['snow', 'ice', 'cancelled']"
281,2020,3,17. Rally Guanajuato México 2020,/final/60429-rally-guanajuato-mexico-2020/,"['gravel', 'cancelled']"
282,2020,4,2. Copec Rally Chile 2020,/final/60430-copec-rally-chile-2020/,['gravel']
283,2020,5,Speedagro Rally Argentina 2020,/final/60431-speedagro-rally-argentina-2020/,['gravel']
284,2020,6,Vodafone Rally de Portugal 2020,/final/60432-vodafone-rally-de-portugal-2020/,['gravel']
285,2020,7,68. Safari Rally Kenya 2020,/final/60434-safari-rally-kenya-2020/,['gravel']
286,2020,8,Neste Rally Finland 2020,/final/60435-neste-rally-finland-2020/,['gravel']
287,2020,9,Rally New Zealand 2020,/final/60437-rally-new-zealand-2020/,['gravel']
288,2020,10,10. Rally Estonia 2020,/final/61497-rally-estonia-2020/,['gravel']
289,2020,11,13. Rally Turkey Marmaris 2020,/final/60436-rally-turkey-marmaris-2020/,['gravel']
290,2020,12,17. Rally Italia Sardegna 2020,/final/60433-rally-italia-sardegna-2020/,['gravel']
291,2020,13,38. ADAC Rallye Deutschland 2020,/final/60438-adac-rallye-deutschland-2020/,['asphalt']
292,2020,14,76. Wales Rally GB 2020,/final/60439-wales-rally-gb-2020/,['gravel']
293,2020,15,56. Renties Ypres Rally Belgium 2020,/final/60503-renties-ypres-rally-belgium-2020/,['asphalt']
294,2020,16,Rally Japan 2020,/final/60440-rally-japan-2020/,['asphalt']
295,2020,17,ACI Rally Monza 2020,/final/66881-aci-rally-monza-2020/,"['asphalt', 'cancelled']"
296,2021,1,89. Rallye Automobile Monte-Carlo 2021,/final/41079-rallye-automobile-monte-carlo-2021/,"['asphalt', 'snow', 'cancelled']"
297,2021,2,Rally Sweden 2021,/final/67773-rally-sweden-2021/,"['snow', 'ice']"
298,2021,3,Arctic Rally Finland Powered by CapitalBox 2021,/final/69715-arctic-rally-finland-powered-by-capitalbox-2021/,"['snow', 'ice']"
299,2021,4,Croatia Rally 2021,/final/67214-croatia-rally-2021/,['asphalt']
300,2021,5,54. Vodafone Rally de Portugal 2021,/final/68111-vodafone-rally-de-portugal-2021/,['gravel']
301,2021,6,18. Rally Italia Sardegna 2021,/final/68112-rally-italia-sardegna-2021/,['gravel']
302,2021,7,69. Safari Rally Kenya 2021,/final/68113-safari-rally-kenya-2021/,['gravel']
303,2021,8,11. Rally Estonia 2021,/final/68114-rally-estonia-2021/,['gravel']
304,2021,9,57. Renties Ypres Rally Belgium 2021,/final/69179-renties-ypres-rally-belgium-2021/,"['asphalt', 'cancelled']"
305,2021,10,Rally UK 2021,/final/68116-rally-uk-2021/,['gravel']
306,2021,11,Copec Rally Chile 2021,/final/68117-copec-rally-chile-2021/,['gravel']
307,2021,12,65. EKO Acropolis Rally of Gods 2021,/final/71264-eko-acropolis-rally-of-gods-2021/,['gravel']
308,2021,13,70. Secto Rally Finland 2021,/final/68115-secto-rally-finland-2021/,['gravel']
