,leg,start_number,start_time,url,entry_number,driver,codriver,car
57,1,58,31. 5. 10:29,/entryinfo/54466-vodafone-rally-de-portugal-2019/2268534/,91,Tejpar Nabila,Freeman Max,Peugeot 208 R2
58,1,59,31. 5. 10:31,/entryinfo/54466-vodafone-rally-de-portugal-2019/2280803/,93,Moreira Paulo,Macedo Marco,Peugeot 208 R2
59,1,60,31. 5. 10:33,/entryinfo/54466-vodafone-rally-de-portugal-2019/2268537/,94,García Paz Santiago,Casal Vilar Néstor,Peugeot 208 R2
60,2,1,1. 6. 06:45,/entryinfo/54466-vodafone-rally-de-portugal-2019/2239692/,6,Sordo Dani,del Barrio Carlos,Hyundai i20 Coupe WRC
61,2,2,1. 6. 06:48,/entryinfo/54466-vodafone-rally-de-portugal-2019/2280559/,19,Loeb Sébastien,Elena Daniel,Hyundai i20 Coupe WRC
62,2,3,1. 6. 06:51,/entryinfo/54466-vodafone-rally-de-portugal-2019/2239689/,33,Evans Elfyn,Martin Scott,Ford Fiesta WRC
63,2,4,1. 6. 06:54,/entryinfo/54466-vodafone-rally-de-portugal-2019/2239683/,4,Lappi Esapekka,Ferm Janne,Citroën C3 WRC
64,2,5,1. 6. 06:57,/entryinfo/54466-vodafone-rally-de-portugal-2019/2281537/,44,Greensmith Gus,Edmondson Elliott,Ford Fiesta WRC
65,2,6,1. 6. 07:00,/entryinfo/54466-vodafone-rally-de-portugal-2019/2239682/,3,Suninen Teemu,Salminen Marko,Ford Fiesta WRC
66,2,7,1. 6. 07:03,/entryinfo/54466-vodafone-rally-de-portugal-2019/2239681/,1,Ogier Sébastien,Ingrassia Julien,Citroën C3 WRC
67,2,8,1. 6. 07:06,/entryinfo/54466-vodafone-rally-de-portugal-2019/2239687/,11,Neuville Thierry,Gilsoul Nicolas,Hyundai i20 Coupe WRC
68,2,9,1. 6. 07:09,/entryinfo/54466-vodafone-rally-de-portugal-2019/2239684/,5,Meeke Kris,Marshall Sebastian,Toyota Yaris WRC
